movie_id,imdb_id,tmdb_id,rating,average_rating,title
3285,0163978,1907,2.5,3.07356,The Beach (2000)
3301,0190138,2069,1.5,3.35022,The Whole Nine Yards (2000)
3317,0185014,11004,2.0,3.70634,Wonder Boys (2000)
3386,0102138,820,4.0,3.65328,JFK (1991)
3403,0081400,24575,3.0,2.55556,Raise the Titanic (1980)
3409,0195714,9532,3.0,3.10925,Final Destination (2000)
3418,0103074,1541,2.0,3.58798,Thelma & Louise (1991)
3448,0093105,801,4.0,3.66675,"Good Morning, Vietnam (1987)"
3481,0146882,243,2.0,3.80921,High Fidelity (2000)
3510,0186151,10559,3.0,3.54933,Frequency (2000)
3519,0077572,17339,2.5,3.30081,Force 10 from Navarone (1978)
3535,0144084,1359,4.0,3.58748,American Psycho (2000)
3555,0141926,3536,2.0,3.34542,U-571 (2000)
3578,0172495,98,5.0,3.95602,Gladiator (2000)
3608,0089791,5683,1.0,3.23527,Pee-wee's Big Adventure (1985)
3617,0215129,9285,3.5,3.13105,Road Trip (2000)
3623,0120755,955,2.0,2.97638,Mission: Impossible II (2000)
3633,0064757,668,4.0,3.42138,On Her Majesty's Secret Service (1969)
3635,0076752,691,3.0,3.53438,The Spy Who Loved Me (1977)
3638,0079574,698,3.0,3.15948,Moonraker (1979)
3639,0071807,682,3.5,3.47488,The Man with the Golden Gun (1974)
3717,0187078,9679,2.0,3.09376,Gone in Sixty Seconds (2000)
3730,0071360,592,4.0,4.04359,The Conversation (1974)
3744,0162650,479,2.0,2.97282,Shaft (2000)
3752,0183505,2123,0.5,2.97527,"Me, Myself & Irene (2000)"
3753,0187393,2024,2.0,3.46053,The Patriot (2000)
3755,0177971,2133,3.5,3.07468,The Perfect Storm (2000)
3785,0175142,4247,0.5,2.72454,Scary Movie (2000)
3793,0120903,36657,1.5,3.56484,X-Men (2000)
3798,0161081,2655,3.0,3.21625,What Lies Beneath (2000)
3821,0144528,12107,0.5,2.21849,Nutty Professor II: The Klumps (2000)
3825,0200550,6282,2.5,2.72503,Coyote Ugly (2000)
3827,0186566,5551,2.5,3.088,Space Cowboys (2000)
3836,0065938,11589,3.0,3.78632,Kelly's Heroes (1970)
3869,0102510,37137,2.5,3.20084,The Naked Gun 2½: The Smell of Fear (1991)
3948,0212338,1597,4.0,3.40628,Meet the Parents (2000)
3967,0249462,71,3.0,3.78344,Billy Elliot (2000)
3968,0230030,1636,1.0,2.89082,Bedazzled (2000)
3977,0160127,4327,2.0,2.76333,Charlie's Angels (2000)
3980,0203019,11978,3.0,3.6382,Men of Honor (2000)
3984,0066995,681,2.5,3.50209,Diamonds Are Forever (1971)
3985,0074452,11372,4.0,3.60194,The Eagle Has Landed (1976)
3994,0217869,9741,3.5,3.48519,Unbreakable (2000)
3998,0228750,11983,2.5,3.16137,Proof of Life (2000)
4002,0093748,2609,2.5,3.5838,"Planes, Trains and Automobiles (1987)"
4005,0093428,708,3.5,3.2744,The Living Daylights (1987)
4007,0094291,10673,4.0,3.7203,Wall Street (1987)
4010,0088850,11064,2.5,3.077,Brewster's Millions (1985)
4011,0208092,107,3.5,4.06457,Snatch (2000)
4015,0242423,8859,1.0,2.50816,"Dude, Where's My Car? (2000)"
4018,0207201,3981,1.0,3.11285,What Women Want (2000)
4019,0181536,711,3.0,3.67329,Finding Forrester (2000)
4025,0212346,1493,1.5,3.0494,Miss Congeniality (2000)
4027,0190590,134,2.0,3.87066,"O Brother, Where Art Thou? (2000)"
4034,0181865,1900,3.0,3.79862,Traffic (2000)
4069,0209475,2018,2.0,2.79092,The Wedding Planner (2001)
4084,0092644,96,2.0,3.10564,Beverly Hills Cop II (1987)
4085,0086960,90,2.0,3.55803,Beverly Hills Cop (1984)
4103,0092965,10110,3.5,3.82592,Empire of the Sun (1987)
4110,0093044,4918,3.5,3.21602,The Fourth Protocol (1987)
4121,0093260,2614,4.0,3.27424,Innerspace (1987)
4148,0212985,9740,3.0,3.21085,Hannibal (2001)
4191,0060086,15598,3.0,3.60076,Alfie (1966)
4212,0077413,4192,4.0,3.5254,Death on the Nile (1978)
4223,0215750,853,3.0,3.71513,Enemy at the Gates (2001)
4234,0236784,2575,3.5,2.98541,The Tailor of Panama (2001)
4246,0243155,634,1.5,3.40168,Bridget Jones's Diary (2001)
4270,0209163,1734,2.0,2.96453,The Mummy Returns (2001)
4299,0183790,9476,2.0,3.31828,A Knight's Tale (2001)
4306,0126029,808,1.0,3.77209,Shrek (2001)
4308,0203009,824,1.0,3.53457,Moulin Rouge! (2001)
4310,0213149,676,3.0,2.85396,Pearl Harbor (2001)
4321,0101587,1406,2.0,3.29457,City Slickers (1991)
4351,0102685,1089,3.5,3.35897,Point Break (1991)
4367,0146316,1995,2.0,2.76651,Lara Croft: Tomb Raider (2001)
4370,0212720,644,3.0,3.26031,A.I. Artificial Intelligence (2001)
4396,0082136,11286,2.0,2.89159,The Cannonball Run (1981)
4447,0250494,8835,1.0,3.15679,Legally Blonde (2001)
4487,0094889,7520,2.5,2.81864,Cocktail (1988)
4489,0094898,9602,2.5,3.50211,Coming to America (1988)
4544,0096101,11966,2.0,2.57533,Short Circuit 2 (1988)
4545,0091949,2605,3.0,3.19798,Short Circuit (1986)
4621,0097778,9494,1.5,2.6778,Look Who's Talking (1989)
4643,0133152,869,2.5,2.74789,Planet of the Apes (2001)
4679,0098554,2616,2.5,3.31282,Uncle Buck (1989)
4718,0252866,2770,2.5,2.9035,American Pie 2 (2001)
4720,0230600,1933,4.0,3.70811,The Others (2001)
4728,0250687,9896,4.0,3.11509,Rat Race (2001)
4799,0057193,11576,3.0,3.52377,"It's a Mad, Mad, Mad, Mad World (1963)"
4816,0196229,9398,2.0,3.22213,Zoolander (2001)
4855,0066999,984,3.5,3.76756,Dirty Harry (1971)
4866,0272020,2100,3.0,3.40327,The Last Castle (2001)
4886,0198781,585,2.0,3.85385,"Monsters, Inc. (2001)"
4890,0256380,9889,1.5,2.82864,Shallow Hal (2001)
4901,0266987,1535,2.0,3.61645,Spy Game (2001)
4916,0074899,11422,3.0,3.54861,Midway (1976)
4941,0080745,3604,3.0,3.07165,Flash Gordon (1980)
4963,0240772,161,3.0,3.8036,Ocean's Eleven (2001)
4975,0259711,1903,2.0,3.3855,Vanilla Sky (2001)
4979,0265666,9428,2.0,3.77165,The Royal Tenenbaums (2001)
4992,0035423,11232,2.0,3.15696,Kate & Leopold (2001)
4993,0120737,120,1.0,4.09829,The Lord of the Rings: The Fellowship of the Ring (2001)
4995,0268978,453,4.0,3.96231,A Beautiful Mind (2001)
5010,0265086,855,3.0,3.68665,Black Hawk Down (2001)
5011,0245046,12660,3.0,3.22159,Charlotte Gray (2001)
5016,0120824,6440,2.0,3.35655,The Shipping News (2001)
5026,0237534,6312,4.0,3.46098,Brotherhood of the Wolf (2001)
5033,0100530,10170,3.0,3.24312,The Russia House (1990)
5060,0066026,651,3.0,3.8732,M*A*S*H (1970)
5093,0233469,9884,2.0,2.60839,Collateral Damage (2002)
5107,0251114,10592,2.5,3.15944,Hart's War (2002)
5152,0277434,10590,2.5,3.58524,We Were Soldiers (2002)
5171,0268695,2135,2.0,2.86418,The Time Machine (2002)
5198,0081070,14807,3.0,3.80309,The Long Good Friday (1980)
5209,0081809,24549,3.5,2.9569,North Sea Hijack (1980)
5237,0083169,10627,2.5,3.45777,Taps (1981)
5266,0258000,4547,3.0,3.23061,Panic Room (2002)
5299,0259446,8346,3.0,3.4009,My Big Fat Greek Wedding (2002)
5316,0157583,10491,3.0,3.41152,Enigma (2001)
5377,0276751,245,3.0,3.64175,About a Boy (2002)
5378,0121765,1894,2.0,3.06982,Star Wars: Episode II - Attack of the Clones (2002)
5400,0164184,4614,3.0,3.21402,The Sum of All Fears (2002)
5406,0045679,36554,3.5,3.30476,The Desert Rats (1953)
5418,0258463,2501,3.0,3.90855,The Bourne Identity (2002)
5445,0181689,180,3.0,3.67859,Minority Report (2002)
5449,0280590,2022,1.0,2.83593,Mr. Deeds (2002)
5452,0107438,11982,1.0,1.9984,Look Who's Talking Now! (1993)
5459,0120912,608,1.5,2.99914,Men in Black II (2002)
5464,0257044,4147,2.5,3.67633,Road to Perdition (2002)
5479,0267626,8665,3.0,3.23718,K-19: The Widowmaker (2002)
5481,0295178,818,1.5,2.94339,Austin Powers in Goldmember (2002)
5502,0286106,2675,3.0,3.24693,Signs (2002)
5528,0265459,9357,2.5,3.30215,One Hour Photo (2002)
5541,0102059,9595,2.0,3.26031,Hot Shots! (1991)
5630,0289765,9533,3.0,3.5585,Red Dragon (2002)
5669,0310793,1430,1.5,3.71764,Bowling for Columbine (2002)
5679,0298130,565,2.0,3.3521,The Ring (2002)
5732,0082351,10863,3.5,3.68365,Eye of the Needle (1981)
5785,0322802,9012,0.5,2.89148,Jackass: The Movie (2002)
5825,0036112,25037,5.0,3.9828,The Life and Death of Colonel Blimp (1943)
5872,0246460,36669,3.0,3.10416,Die Another Day (2002)
5899,0058777,14433,4.0,3.80087,Zulu (1964)
